Id,"Label=p90,Stat=p90,Period=OneHour,MetricType=Timer,GroupUnit=request,ValueUnit=microsecond,AggregationFunction=weightedAverage,AggregationPeriod=P1D"
Label,"p90"
Result,MetricData
Min,3716294.0953947366
2014/09/16 22:59 PDT,4553495.410811582
2014/09/17 22:59 PDT,4507866.840806908
2014/09/18 22:59 PDT,4609942.1065635355
2014/09/19 22:59 PDT,4618328.910676567
2014/09/20 22:59 PDT,4527785.729397229
2014/09/21 22:59 PDT,4592616.287645766
2014/09/22 22:59 PDT,4648908.637971523
2014/09/23 22:59 PDT,4633130.220841084
2014/09/24 22:59 PDT,4696366.300268908
2014/09/25 22:59 PDT,4382843.291094105
2014/09/26 22:59 PDT,4049111.463986238
2014/09/27 22:59 PDT,4457430.532534783
2014/09/28 22:59 PDT,4422665.380633434
2014/09/29 22:59 PDT,4369989.999365715
2014/09/30 22:59 PDT,4489729.461997257
2014/10/01 22:59 PDT,4358329.75857818
2014/10/02 22:59 PDT,4325172.80362776
2014/10/03 22:59 PDT,4403252.884871973
2014/10/04 22:59 PDT,4482299.854383324
2014/10/05 22:59 PDT,4607904.223880139
2014/10/06 22:59 PDT,4381194.474948954
2014/10/07 22:59 PDT,4588235.454450958
2014/10/08 22:59 PDT,4404632.890674515
2014/10/09 22:59 PDT,4366420.013176712
2014/10/10 22:59 PDT,4431652.116825748
2014/10/11 22:59 PDT,4522829.932671376
2014/10/12 22:59 PDT,4542556.133893651
2014/10/13 22:59 PDT,4528162.051070438
2014/10/14 22:59 PDT,4469827.0815747995
2014/10/15 22:59 PDT,4494562.857051059
2014/10/16 22:59 PDT,4464459.431535328
2014/10/17 22:59 PDT,4423067.878022248
2014/10/18 22:59 PDT,4506918.673812902
2014/10/19 22:59 PDT,4457427.4491829015
2014/10/20 22:59 PDT,4349547.160849372
2014/10/21 22:59 PDT,4422245.6029945705
2014/10/22 22:59 PDT,4437838.509424504
2014/10/23 22:59 PDT,
