Id,"Label=p90,Stat=p90,Period=OneHour,MetricType=Timer,GroupUnit=request,ValueUnit=microsecond,AggregationFunction=weightedAverage,AggregationPeriod=P1D"
Label,"p90"
Result,MetricData
Min,793788.6933355328
2014/09/23 20:28 PDT,916021.4387483452
2014/09/24 20:28 PDT,912164.6337838451
2014/09/25 20:28 PDT,864601.9413849971
2014/09/26 20:28 PDT,846658.9122913082
2014/09/27 20:28 PDT,866169.1792309941
2014/09/28 20:28 PDT,911480.0411461202
2014/09/29 20:28 PDT,891390.2762252574
2014/09/30 20:28 PDT,929793.4496329469
2014/10/01 20:28 PDT,891437.2868918261
2014/10/02 20:28 PDT,868661.2112327319
2014/10/03 20:28 PDT,895306.9070638561
2014/10/04 20:28 PDT,887903.8672765027
2014/10/05 20:28 PDT,932954.8866125847
2014/10/06 20:28 PDT,921930.132863356
2014/10/07 20:28 PDT,940023.6335144346
2014/10/08 20:28 PDT,879925.2778823993
2014/10/09 20:28 PDT,860730.6062911635
2014/10/10 20:28 PDT,836317.2612057301
2014/10/11 20:28 PDT,857697.5820286805
2014/10/12 20:28 PDT,893220.6681026355
2014/10/13 20:28 PDT,894394.5564631406
2014/10/14 20:28 PDT,905045.3404206921
2014/10/15 20:28 PDT,892076.2488518549
2014/10/16 20:28 PDT,916498.9482564011
2014/10/17 20:28 PDT,895317.9161609063
2014/10/18 20:28 PDT,904828.1218448427
2014/10/19 20:28 PDT,914745.6869434871
2014/10/20 20:28 PDT,941336.859557833
2014/10/21 20:28 PDT,925212.943750565
2014/10/22 20:28 PDT,913097.6038786339
2014/10/23 20:28 PDT,900795.0756430237
2014/10/24 20:28 PDT,886420.9404435805
2014/10/25 20:28 PDT,881786.5871378008
2014/10/26 20:28 PDT,
